Text,Label
當別人叫你戴口罩你卻不聽 口罩:你為什麼恨我???,11
你說誰爛,11
我最牛,11
我就貴,11
我就(擺)爛,11
我就 國民黨 我就 反動派,11
我就爛！ ,11
我就尷尬,11
,
,
,
,
,
一定是大拇指啦,11
我就懶！,11
,
就是爛！,11
我就辱華,11
你再講一句話 我就爛爆你,11
發大財,11
免費讚啦,11
,
,
別吵別吵 下一個會更好,11
我就爛，我驕傲,11
我就異世界轉生 動漫,11
我就愛打赤膊拍網美照 天然的尚好,11
我OK，你先請！,11
,
我就洨腦,11
我就臭,11
高雄發大財 韓黑粉：發財個屁,11
我就胖,11
,
我就愛打疫苗,11
我就是skr,11
,
就是我很廉價 我有一個特點,11
我就找碴！,11
,
,
我就討厭中國,11
這是一張梗圖 沒錯,11
,
我就沒理智 讚!!!,11
小編就不會美工,11
"沒疫苗,怎麼辦?
校正回歸就有啦!!!",11
我又想偷懶了,11
,
我就校正回歸,11
,
,
我就戴,11
是的 我沒梗了,11
,
,
我就垃圾躺分仔,11
我就狂,11
我就爛哥對自己比了個讚,11
,
,
我就宅,11
我就兇,11
,
,
我就金身！,11
,
他就有問題！,11
"你的情商有夠低
看你就像看著一個大87",11
我說你讚你就讚啦,11
,
,
,
,
,
你就可愛,11
不会写文案的码字机 我就烂 不会写文案又怎样？,11
,
我就写刀！ 刀你们！快乐！ 哈哈哈哈哈！！,11
就是爛 我的生物知識,11
,
,
會考只剩十幾天，我還在玩手機 我就爛！！,11
我就外送員,11
,
我也要來棒棒,11
,
我就養生,11
你的內心 當女朋友生氣叫你滾,11
既然遲早都要辱華 為何不一開始就辱呢？,11
當你考90分還被爸媽說不用功 我就爛!,11
老師表示我就爛,11
我就是個胖子,11
小米logo的變化只是變圓了點可是他媽就可以拿一堆錢 我就爛!!,11
早安 祝你開心,11
沒事啦小郭,11
我就敢,11
,
我散戶我就讚,11
,
我就單身狗 汪汪,11
"我代替勞碌命女神
送你勞碌命的祝福 我就勞碌命！",11
你打卡了嗎? 我就打,11
我就投機,11
職場霸凌就是讚,11
"當你要判斷磁場方向
結果用錯手時",11
我就機八,11
我就肥 外加 低能,11
你明明做得很好啊 我就爛,11
我就貪,11
我就爛 當段考不是你的事的時候,11
燃料棒送出國恢復核電無望？！ 公投過了再買回來就好啦，怎麼樣都比幾千億的天然氣便宜,11
"醜女跟我告白,但是我拒絕她 我就爛",11
嘿，你知道吗？ 你超烂,11
有人把我認成巧克力包裝的人 爽啦,11
哪裡有梗 梗圖倉庫就在那,11
"台中
讚啦！",11
当自己做完垃圾梗图时 我就烂,11
為了免錢尻尻... 我把名字改成飛機杯,11
我就瘋子,11
我爛到180度翻轉,11
我就爛 今天的我：,11
,
我就烂,11
中共就烂,11
超棒！,11
,
,
"欠钱不还
再借不难啦",11
我就烂！！！ 人们都对我的未来担忧！ 老师还在尽力抢救！ 父母对我太失望！ 同学吹我赶快叫功课！,11
我不簽我驕傲 簽連署救核四？,11
當奈若的巴德要對老公的珊娜丟技能 我就空,11
感謝抖內 滿滿的心意都收到ㄌ,11
,
,
牛肉玩中路打劫的時候 我就爛,11
過年親戚問有沒有女朋友 我就gay,11
我就祝你新年快樂！,11
,
太棒了！我喜歡這種內容！,11
,
我就單推啦,11
我就師奶,11
按讚,11
,
我就歧視,11
我就爽,11
,
功课做完记得寄给我 謝謝,11
,
,
當高中國文又被當的時候 我就瀾,11
,
生命會找到出路的 我就爛 我超屌的~,11
我感覺超棒,11
,
,
我就吃貨,11
,
我就DD我驕傲,11
我就87 也是低能,11
,
我就600 警告：花蓮住宿不要賣太便宜 有人旅宿,11
爛到勃起！！,11
爛到勃起！爽～,11
87分不能在高了,11
,
我就H,11
我就多,11
,
,
,
是!我就沒用!,11
讚啦~!加油,11
我就套路,11
我就FC,11
我就祝大家 新年快樂 我就祝大家,11
"耶,新年快樂 終於過完了這狗屎般的2020 錯字迷因",11
我就送木炭,11
我就爛啦！ 頌啦！,11
我就多重人格！,11
,
我就雙重人格！,11
我就DD,11
你也做不到喔！ 別人做的到,11
我就婊,11
我就辱,11
,
當你覺得自己最近製作的梗圖都色色的 我就好色,11
現在還是單身的你 聖誕節跟跨年也還是只有你自己喔,11
我就愛唸！！,11
,
你小孩就爛,11
我沒有天王星龍 完全沒煩惱,11
我就幼稚！,11
,
我就自私！,11
我就傻,11
,
你無效啦！,11
給你一個讚,11
我就M,11
我就爛 爛到翻轉,11
,
我就爛 舒服啦！！,11
超棒的！,11
,
我就存！ 鳥類,11
我就廢,11
爽啦！數學要不及格 我就爛,11
好棒棒,11
,
,
感謝站長阿川新增封鎖功能,11
我就讚 你也讚 認同請分享,11
我就學,11
,
我超強,11
,
,
我就不給換照 NCC,11
台灣人 我就雙標,11
我就吵,11
我們是傳統壽司,11
我就孝！,11
我 就 窮 ！,11
母湯喔,11
超讚,11
期中考完就是要斷網 學校,11
我就讚,11
,
我就沒用,11
我就娘 怎樣 我就不一樣,11
讚,11
我就愛檢舉,11
當群組在討論嚴肅的事 欸有人要吃宵嗎,11
我就MAGA,11
好就這樣,11
我就 TI,11
我就𥄫女,11
我就爛,11
"我就爛
怎樣
要不然你來跟我比誰比較爛阿",11
老師：你今天要交一份罰抄 我:我不要 我: 我就爛 錯字迷因,11
再2個小時就離職,11
,
我沙雕我驕傲,11
我就胖,11
事到如今我也只能說 吖  不  就  好 棒  棒,11
我就廢物,11
,
被主管說一句 我就玻璃心,11
我就 懶,11
"當你以為高中手機裡會充滿筆記
但其實充滿同學醜照 我就爛",11
,
我就廢 Minecraft 萬歲!,11
幫站長讚起來,11
找不到簽到簿？ 在這裡啦！,11
當你成功惡搞這智障時 我的表情,11
,
就想拆!,11
,
下禮拜段考 現在在作梗圖 我就爛,11
她媽我就爛我就是要打台灣,11
,
格蘭迪可以 你也可以！！,11
想吃，但是我怕胖 我就胖,11
我就懶,11
這麼好的東西 不給讚怎麼行,11
拍得真好！,11
我就可憐,11
這些都是我的婆 我就DD 我就D,11
我就臭,11
我就棒,11
我就吃,11
,
我就是不發片，怎樣,11
我就粗,11
我就死肥宅,11
乖乖等出院 就喜歡粽子全力的戰吼,11
受死吧,11
,
当考试完但你己经知道自己搞砸时 我就烂,11
我就廢,
我就菜,11
我就標！,11
當我數學考了16分 我真的爛,11
我就大ㄐㄐ,11
我就小ㄐㄐ,11
我就臭ㄐㄐ,11
,
中午還在宿醉的 我就爛 你：,11
,
我就嫩,11
,
我就王八蛋,11
,
剪光頭被記過,11
,
你帶種！棒棒！,11
當我看到有人畫的超好看： 我就爛,11
你很棒！,11
我就壞,11
,
,
,
,
我就一般！,11
,
我懶惰，我驕傲。,11
聽說今天台南有群震 我們幫他們按個讚,11
我就崩潰,11
我是中華人民共和國主席,11
,
我就想看,11
我就是比你強,11
我最快,11
我就不遵守约定,11
我就台獨,11
我就細,11
不要用你打过手槍的手摸我,12
,
,
抗拒,12
過年時那些親戚想捏你臉時,12
,
,
你要包多少? 我: ???,12
驚恐的我,12
向毒品說不！ 不了謝謝,12
驚恐爆表,12
,
,
,
,
,
,
剛上完廁所沒洗手的同學 我,12
你要當主管嗎?,12
靠!你手怎麼會有洨味!,12
當你發現朋友上完廁所沒洗手的時候,12
,
,
,
,
,
我可以放心的信任你嗎？？ ,12
當你在公共場所咳嗽的時候 ,12
,
,
,
,
,
,
有人咳嗽 離我遠一點,12
出去玩當主揪 你 群組其他人,12
我 憂鬱,12
,
拿開你的屎手,12
,
,
,
,
,
,
單身狗不要碰我 我怕被傳染,12
快洗手,12
這張圖可以表示我現在的心情 友誼之手,12
幹 你他媽是不是有武漢肺炎！？,12
別碰我,12
當你咳嗽時 身邊的其他人,12
剛脫下拳套的手 我以外的人,12
今天我就看你不爽，敢碰我就把你丟到泰國,12
敢碰我就把你丟到韓國！,12
來加班吧！ 老闆 我 為什麼，我不要 當自己終於放假時,12
拉完屎沒洗手的朋友,12
當你手還沒洗,12
當你手還沒消毒,12
不要過來,12
你別過來呀！,12
當我要和這隻鹿握手 防疫期間，想幹嘛?,12
連鹿都鄙視你,12
當你上廁所不洗手,12
保持距離,12
你沒洗手,12
你有沒有洗手 我有啊,12
你洗手了嗎,12
,
你剛剛有沒有洗手？,12
,
,
你不是剛去過萬華！！！,12
,
,
,
你要不要信我們的基督教？ 趕時間的我,12
,
快噴酒精!!!!!,12
"防疫期間
保持社交距離",12
淦！洗完手再碰我啦,12
,
,
當你剛尻完沒洗手,12
你有洗手嗎⋯⋯,12
當你還未洗手： 快滾開，你還未洗手,12
,
,
,
,
貝爺的手,12
,
,
,
剛射完的你,12
,
,
,
当陌生人要和你握手,12
,
,
,
,
不要碰我單身狗 幹,12
當你拿到錢時,12
極度驚嚇,12
過年 從武漢回來的親戚,12
尋找健康排除毒素的我 橄欖油加柑橘汁,12
手走開,12
當有人從醫院出來沒洗手,12
,
,
,
,
,
,
"每次考試都不及格同學的手 我：
幹 不要碰我",12
別靠近我！你這髒鬼,12
滾!  沒錢,12
衝三小,12
不要碰我 你好髒,12
,
,
"幹你媽
神經病喔！",12
,
,
,
,
害怕握手握手,12
手手不乾淨不要摸我！,12
這是一個在說四個長不大的媽寶想盡辦法向媽媽挖錢的故事 老頭家娘 蘇家敗家子 媽 借我錢啦 \    / （小朋友不可以學哦 要努力向上哦 U質台劇 努力推廣中,12
班上的同學 不小心打了個噴嚏,12
,
,
,
,
單身20年的手 鹿鹿恐懼中  不想被感染,12
,
爸爸： 给我钱,12
,
,
,
當你感染了武漢肺炎:,12
,
不要給我這種噁心的東西,12
不要接近我,12
發自內心的鄙視,12
您收到一封鄙視訊息,12
,
,
,
剛剛打飛機別摸我,12
,
去過武漢的手,12
,
,
,
,
,
,
,
,
討厭的人想碰你,12
上廁所沒洗手，不要摸我!,12
大便沒洗手，不要摸我!,12
不要過來,12
先不要,12
不要碰到我,12
不要接近我,12
咳嗽沒戴口罩的人 怕死但沒戴口罩的人,12
絕對不要,12
没带口罩的老师,12
,
威力彩頭獎31億 月底僅剩的一百塊,12
我 小學生抖音,12
抖音,12
髒手別碰我,12
,
,
,
以為我要請客的朋友: 沒錢的我:,12
朋友上廁所沒洗手就碰你,12
朋友上完廁所沒洗手就要碰你,12
,
,
,
,
遠離骯髒動物 鹿鹿有責,12
,
,
,
,
,
,
,
,
來啊不要客氣 額~我才不要搶麥克風勒,12
這題我可以教你 只想抄作業的同學,12
,
,
"你跟同事一起出廁所，
卻看到他沒洗手時",12
"公共區域很髒
廁所很髒",12
你好髒,12
,
,
,
快走開,12
你走開,12
你現在是要碰我嗎！？ 碰三小！,12
殺小 走開,12
髒鬼走開,12
你沒洗手 走開,12
很髒的人,12
,
,
,
,
,
,
,
,
,
,
當同學想要伸手碰你但你看到他從馬桶間出來時拼命地在洗手台清洗著他的指甲縫,12
,
不要啦,12
先不要,12
奈良鹿之鄙視,12
,
,
,
,
剛執行防疫專車勤務返隊,12
沒食物不要碰我,12
"等等,你的口罩呢！",12
,
,
,
握手一下！ 握什么东西！你的手有消毒吗！,12
,
,
,
,
,
,
有智障,12
,
你走開啦,12
,
,
"你的手有沒有洗
沒有洗不要碰老娘 拒絕武漢肺炎",12
遠離我,12
剛咳嗽還沒洗的手,12
,
武漢肺炎 幹，離我遠點,12
疫情期間有人要跟你握手時,12
,
,
把錢交出來,12
滾！,12
當大陸莫名伸出手,12
,
,
中國人要跟我握手,12
,
,
,
,
離我遠點,12
你的髒手離我遠一點,12
會考之手,12
,
把龍珠還來 ! 你要出多少 ?,12
,
,
拿開你的手,12
從大陸回來的親戚,12
有沒有消毒啊你,12
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
防疫期間 勿觸碰～,12
幹！是武漢肺炎！,12
,
,
,
,
,
中國人：可以握個手嗎？ 我：,12
,
,
,
林北很帥 帥到分手,12
,
,
走開你這個只會製作武器的人,12
,
干！！恶心人类去洗手啦 保持干净人人有责,12
,
不敢靠近,12
別過來啊,12
別靠近我,12
鹹豬手走開,12
鹹豬手離我遠一點,12
我刚上厕所没有擦手哦 不要靠近我,12
沒擦手別碰我,12
拒絕,12
武漢肺炎,12
別伸手,12
才不理你,12
才不跟你握手,12
先等等別著急,12
別摸我,12
不要這樣,12
清明連假出去人擠人的朋友 我：「滾！」,12
想要吃我的零食的同學 我：這是分食,12
滾開,12
,
,
有人咳嗽完沒洗手,12
沒看過小鹿班比逆！！,12
,
,
,
,
連鹿也會鄙視你,12
,
,
沒洗手的你,12
,
,
,
,
不要碰我 中國人的手,12
你還沒洗手呃,12
沒有洗手 感覺到惹生命的危險,12
,
,
,
"當我試圖接近
選擇性緘默症的學生",12
什麼！？你今天還沒量體溫！,12
超怕疫情的我,12
,
電影驚悚畫面,12
,
,
,
,
回家不洗手,12
,
,
,
,
你是不是想握手,12
,
,
出國回來的人 沒出國的人,12
你有洗手嗎?,12
,
,
,
,
,
,
你上廁所有洗手嗎？,12
當你知道你朋友得武漢肺炎 而他卻要跑來握手時..,12
勤洗手 別碰我,12
,
,
你剛擦過屁股 很髒,12
,
不想握手,12
拒絕握手,12
你消毒了嗎今天？ ,12
,
你有洗手消毒了嗎？！,12
,
,
你剛剛是不是沒有洗手!!! 當你在機場對朋友伸出友誼的小手,12
當病毒爆發時你伸出友誼的小手 沒噴酒精滾,12
你想幹嘛?!,12
,
幹！你沒洗手！,12
手上有味道,12
武漢肺炎 世界各國,12
到日本旅遊,12
我剛大便沒洗手,12
,
,
,
,
,
你這個髒東西,12
這甚麼髒東西,12
沒有洗手 不要碰我!!,12
,
,
,
,
好噁,12
把你的髒手移開！,12
,
,
在國外遇到中國人想跟你裝熟,12
當你拿1塊錢給有錢的鹿時,12
,
防疫大作戰教戰守則小卡,12
可以不要給我看這個東西嗎？,12
,
,
中國人滾！,12
,
从中国回来的人,12
,
,
,
,
妳洗過手沒...!?,12
中國遊客 世界各國,12
,
,
,
,
,
,
,
,
,
,
,
,
,
走開！臭智障,12
,
,
,
,
當中國人要跟你握手,12
,
武漢人,12
,
武漢來的 其他居民,12
中國人打招呼 你,12
,
,
,
武漢肺炎,12
媽媽的手,12
現在有人想碰我 我就,12
,
,
,
拿著整盤香菇的我,12
,
來自鹿的鄙視,12
你敢碰我,12
幹 不要過來！ ,12
你快走,12
,
,
,
,
不要碰,12
這三小！不要給我這個！,12
,
,
,
,
,
屁股 冬天的馬桶 廁所日常,12
,
,
當你朋友聞到你手上的洨味 不想和你握手,12
,
,
,
,
,
,
,
,
被小鹿嫌棄了,12
,
,
,
,
,
,
,
討厭香菜的朋友,12
,
啊啊啊 抖音小孩,12
想握手的柱柱姐 喔這握到會衰....,12
,
,
,
,
那我寫那麼辛苦幹嘛？,14
懷疑人生,14
你已經要吃土了,14
,
,
,
,
還想放假的我,14
,
我對你而言只是個笑話嗎,14
,
,
,
你還搞不懂現況,14
,
,
,
,
,
,
,
,
,
打了一大串字结果忘记切去中文,14
,
停电,14
,
台北市對全世界包括本人我在內時的想法,14
我覺得你說的怪怪的,14
,
,
,
,
,
,
,
,
,
"我只吃海鮮或吃素，
因為我不想吃動物。 海鮮：",14
航迷瘋狂搶拍C17 醫護人員,14
愛的教育，鐵的紀律 延展性&硬度：,14
法國人在歷史上是打最多勝仗的民族，大家卻嘲笑他在二戰時的表現 歷史:,14
歷史老師：飛機、毒氣、潛艇、坦克是一戰時最重要的發明 馬克沁機槍：,14
不會訊息 終身處男,14
＊當人們抱怨不該將死掉的小貓當作標本保存＊ 還在慈湖的蔣中正,14
國民黨跟韓粉與其他愛唱衰的人:之前疫情會守得住是因為醫護人員跟人民的努力，不然現在是怎麼爆發的? 出門都不戴口罩的人與違規店家:,14
你這樣已讀不回，對得起你爸媽嗎,14
"今早的母亲节 所有人： 母亲节你的妈妈: 所以你欠我的“母亲节快乐”去了哪里？ 快来看 Ybb和Lsj开始撕了
哇 不知道是不是真的？！",14
吃雞玩家：AWM是世界上最準的狙擊槍 CheyTac M200：,14
朋友：所以初音是虛擬Vtuber嗎？,14
追蹤討論、稍後觀看,14
當我向韓韓告白事被夫人拒絕： 營友：我可以告白嗎 夫人：可以 我,14
當你睡醒發現教室沒有人 上課鐘聲： 你： 但你和同學約好上課叫你起床,14
,
"当我看到上路在打架，我速速跑去支援。
结果队友全跑了，就只剩下我被打。 所以我是被卖了吗？",14
,
"中醫師在推拿時一直問我痛不痛
但我都已經唉出來ㄟ",14
過年，惡魔說： 新年快樂，紅包拿來:) 回房後的我：,14
,
当你花一个小时做完功课发现你做的根本错完,14
,
作者：窗簾是藍的 國文老師：這一定是代表憂鬱 只是想表示窗簾顏色的作者：,14
,
,
,
大家都說台北下雨下整天 宜蘭：,14
熱門創作主題分類： 某人喜歡做垃圾政治梗圖然後又不好好不分類,14
飢餓30：存在 非洲,14
,
"當加班的我目睹老闆看著八點才下班的同事空位說大家怎麼這麼早走 工作與生活
的平衡",14
,
,
念一整晚物理才發現明天考微積分,14
"小學的我 : 考試時轉頭看時鐘
後面的同學 :「老師他作弊」 我:",14
這是三小,14
97%還不爆是三小,14
"當你剛買完電動
結果隔天打折優惠",14
"當你剛換完新手機
結果出新機",14
,
,
學校：要大家背論語 被遺忘的其餘諸子百家：,14
"高中地理跟歷史課綱:
大量著墨東北亞跟東南亞 東亞的蒙古:",14
"朋友： 真的不要开玩笑
现在疫情很严重 我： 你可以先戴口罩才跟我说话吗？",14
老師：遊戲又不會跑掉，你不能拿點時間來讀書嗎？ 經歷了好幾個遊戲停運關服的我：,14
某些人 : 沒有抖音我就會死 食物，氧氣，水 :,14
當情侶秀恩愛時... 單手狗朋友 be like:,14
鬼滅粉：鬼滅的最後一戰太熱血了 沒有動漫比得過 火影忍者：,14
當你走在路上看到熟人他卻不理你時 我：,14
某些人：我沒有抖音就會死 食物、水、氧氣：,14
我被漂浮的手機嚇到很好笑嗎,14
,
我對你而言是個笑話嗎？,14
"上課還在discord發言的人：呵呵
手機箱：",14
8/30*開學 我:開電腦 暑假作業：,14
"跟同學約好了一起上暑輔，結果
他突然去外縣市",14
*化學課老師開始講課* 同學：欸這節上什麼啊? 化學老師：,14
"*當你已經把對面殺到只剩一人*
而你隊友連最後的一個都打不過
導致你們直接掰",14
國中小同學:新訓好累哦要三天欸 預校學生:,14
你認為我是個玩笑嗎?,14
"當你捐爆物資升級商店
發現從24H變成只營業到10點",14
當你打出八連勝但最後還是進不了季後賽 太陽 nba?,14
我:为什么每天早上起来都会那么累 半夜一点还没睡的我:(熬夜 充足的睡眠:,14
被你忘在家的口罩,14
,
“教师”的机动 人体能承受的最大G力,14
,
難得有記得去申請動資券,14
,
在環狀線轉乘的我,14
老師：你們知道我改作業多累嗎？我要改幾個小時哎 每天做作業做到半夜3點的我：,14
當中共不承認BNO為認可的旅遊證件時 回鄉證、特區護照：,14
當有人在繪社裡看到盜圖仔，只是在下面嗆，沒有向管理員檢舉 管理員,14
淑玲：同學今天第六節寫作文 第六節的公民老師,14
"射手10/0/0贏下了這局
射手：我carry了這局 輔助：AM I Joke to you?",14
,
,14
"當迪士尼頻道一直播歌舞青春1跟2
而不播第三集
  老觀眾們",14
明明知道吐司已經過期了卻硬要吃完，現在肚子爆痛 保存期限：,14
"睡前喝一物
當天排出宿便，瘦到尖叫！ 膳食纖維：",14
"沒按單雙號領券不能拒絕
過號不能拒絕
沒戴口罩不能跟客人有衝突 我們對你們而言是個笑話嗎?",14
,
,
"我：把指甲上的倒刺咬下來結果撕掉整塊皮
指甲剪：",14
每當我問我的朋友要不要狩獵只看到幾個已讀時,14
某些玩家:請問能進去遊戲了嗎? 官方公告:,14
我: *因为找不到滑鼠而开始烦恼* 笔电触控板:,14
寶可夢新作 Unite發表 寶可夢老玩家,14
小佑開台說他非常想打R6 (醫生),14
,
當你好不容切開榴蓮的時候發現裡面只有一排肉。 你：,14
當分組被大家忽略時,14
我：*打給總機* 號碼表：,14
當林克進了迷宮打了小王就想過關 樂器:,14
,
當輔助又不要跟著身為射手的你 我：,14
"母亲节吃龙虾
父亲节跑到没有半个人
剩下我一个",14
當某人改了心愛狗的圖卻不想負責,14
黃國昌：時代力量不當「小綠」走自己道路 * 民進黨延攬時力議員加入陳其邁發言人團隊 * 我對妳來說是個笑話嗎？,14
,
"某人：行程寫看畢業典禮，可惜我想上課
 教室電視：",14
當你月經來而你姐幫你買早餐店冰奶：,14
,
"輝哥誇獎睡整天的
臭狗a.k.a靜悄悄高品質戰士 讀一整個晚上還被輝哥說是不是沒讀書的可憐花花",14
,
把作业放大 学生:矇 把作业放小 学生:太小看不到,14
半路忽然下大雨而雨傘剛好壞掉時:,14
"一也：桐葉我只有你一個付喪神
 響華：",14
"當迪士尼推出了歌舞青春影集版而不是
歌舞青春4時 歌舞青春老粉們",14
"花12秒從口袋掏出手機
只為了查看時間 手錶:",14
我：這部新作好香！！我一定要補完再去看漫畫原作！！！ 還沒補完的舊坑,14
"百度一下,你就知道
 六四天安門:",14
當你只講約翰的近況 喬治:,14
政府： 训导处： 学生：光明正大的在课室吃东西,14
手指的感受,14
把瑪亞家當會地 瑪亞：,14
"法盲：通姦除罪化，天下大亂啦   
民法：",14
"選總統，Yes, I do. 高雄市民表示:",14
当你妈要没收你手机时.... 一百万个不愿意 咪  再原谅我一次 我：,14
當你的領班在消費你一直泡水餃時 我…真的對她沒有興趣啦,14
*當你解釋自己撞頭之後獲得達文西之眼* 醫生：,14
給我看這個幹嘛 我又不缺錢,14
右轉時內側有機車 砂石車司機,14
"通姦罪大部分懲罰的對象是小三
而不是背棄婚姻的那個人 婚姻：",14
,
,
"明天去考多益
阿嬤祝我考100分 我:",14
49天后指考我還在作梗圖 成績:,14
"考試考到一半好友名單
少了不是沒脾氣 小火車的臉",14
6天後會考而我還在做迷因 會考：,14
當我發現只有我和渺渺幾人像白癡一樣地遵守規則,14
我：*在最後一回合丟掉公主* 公主：,14
*玩情書時* 我：*再最後一回合主動丟掉公主* 公主：,14
忘了做報告的我 學科分數:,14
"當你的媽媽向別人炫耀你的成績
 還被別人說教得好 你:",14
,
,
,
看完今年的統測的英文非選 補習班老師:,14
當你報名了補習班英文的決勝班結果考出chicken時,14
背了一大堆單字結果卻考出chicken,14
在水果刀面前啃蘋果 刀,14
為什麼不交鋪底表,14
當你另一半毫無預警的跟你分手,14
"高中爆肝讀書了三年
想著一定會有美好的未來
結果未來工作繼續爆肝 我的肝：",14
当你打游戏是跟你朋友说的多厉害结果上场被秒杀 你的朋友:,14
"老師:來，念課文。""唸出開頭"" 全班:""安靜"" 老師:",14
,
我:到二年級選組時選了社會組 在學校當老師的老爸:直接改成商業 我:,14
:「一個人的意見不代表全中國人的意見啊！」,14
朋友：（把一樣的笑話講到爛 那個笑話：,14
手动调整风扇转向 自转模式,14
當網路圖比你辛辛苦苦冒著生命危險偷拍的讚數還多時,14
當某人沒拿到錢的表情,14
"熱食部的食物又小又貴
滷味加麵要60 被當盤子的學生們：",14
,
*利用迷因做一個迷因* *迷因,14
第二季開播 雷姆教 :,14
加州獨立,14
那两个死的人:,14
,
你為什麼不早說?,14
,
,
年头就买了很多的额外练习:,14
当你朋友总说找不到女朋友 有想过我的感受吗,14
當你的室友跟別人說自己不雷 每天被磨牙吵醒的我,14
又被幹掉了 我對你而言是個笑話嗎,14
當好不容易換了義大利進口的框卻不能在體育館打畢業賽時 校長,14
,
*當你玩遊戲睡著還贏那個沒睡著認真玩的朋友 認真玩的朋友:,14
,
"當你好興奮地跟別人爭吵，
但對方卻開始道歉不跟你吵。",14
當你抽插途中想到前女友而開始哭訴：  現任,14
當你玩了一個遊戲一年結果發現你沒綁帳號就刪除,14
,
你的同學認為學藝的大招是預先知道國文老師要上什麼,14
你的人生,14
"時間表：12:30落堂
但數學堂到12:40都未落堂 時間表：",14
,
"當你畫了一個大雄
同事卻以為你在畫自畫像",14
